"Khakassia, Republic of","Dagestan, Republic of",,,83,Nenets Autonomous Okrug
"Khakassia, Republic of","Kalmykia, Republic of",,,86,Khanty–Mansi Autonomous Okrug – Yugra
"Khakassia, Republic of",Altai Krai,,,87,Chukotka Autonomous Okrug
Chuvash Republic,"Tatarstan, Republic of",,,89,Yamalo-Nenets Autonomous Okrug
Chuvash Republic,Ulyanovsk Oblast,,,82,"Crimea, Republic of[d]"
Chuvash Republic,"Mordovia, Republic of",,,92,Sevastopol[d]
Chuvash Republic,Nizhny Novgorod Oblast,,,,
Chuvash Republic,Mari El Republic,,,,
Altai Krai,Novosibirsk Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Republic,,,,
Chelyabinsk Oblast,"Buryatia, Republic of",,,,
Chelyabinsk Oblast,Altai Krai,,,,
Chelyabinsk Oblast,Sakha (Yakutia) Republic,,,,
Chelyabinsk Oblast,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Chukotka Autonomous Okrug,,,,
Altai Krai,"Adygea, Republic of",,,,
Altai Krai,Karachay-Cherkess Republic,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Rostov Oblast,,,,
Altai Krai,Yamalo-Nenets Autonomous Okrug,,,,
Altai Krai,Khanty–Mansi Autonomous Okrug – Yugra,,,,
Altai Krai,Tomsk Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,"Khakassia, Republic of",,,,
Altai Krai,Tuva Republic,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Sakha (Yakutia) Republic,,,,
"Crimea, Republic of[d]",Altai Krai,,,,
"Crimea, Republic of[d]",Komi Republic,,,,
"Crimea, Republic of[d]",Sverdlovsk Oblast,,,,
"Crimea, Republic of[d]","Bashkortostan, Republic of",,,,
"Crimea, Republic of[d]",Udmurt Republic,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,"Ingushetia, Republic of",,,,
Altai Krai,"Khakassia, Republic of",,,,
Altai Krai,"Kalmykia, Republic of",,,,
Altai Krai,Rostov Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Karachay-Cherkess Republic,,,,
Altai Krai,Kabardino-Balkar Republic,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Jewish Autonomous Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Sakha (Yakutia) Republic,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Jewish Autonomous Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Sakha (Yakutia) Republic,,,,
Altai Krai,Chelyabinsk Oblast,,,,
Altai Krai,"Karelia, Republic of",,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Komi Republic,,,,
Altai Krai,Nenets Autonomous Okrug,,,,
Altai Krai,"Kalmykia, Republic of",,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Smolensk Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Oryol Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Ryazan Oblast,,,,
Altai Krai,Nizhny Novgorod Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Yaroslavl Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,"Kalmykia, Republic of",,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Rostov Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Saratov Oblast,,,,
Altai Krai,"Karelia, Republic of",,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Yaroslavl Oblast,,,,
Altai Krai,Tver Oblast,,,,
Altai Krai,Saratov Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Rostov Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Nizhny Novgorod Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Yaroslavl Oblast,,,,
Altai Krai,"Buryatia, Republic of",,,,
Altai Krai,Tuva Republic,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Sakha (Yakutia) Republic,,,,
Altai Krai,Chelyabinsk Oblast,,,,
Altai Krai,Tula Oblast,,,,
Altai Krai,Oryol Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Smolensk Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Republic,,,,
Altai Krai,"Khakassia, Republic of",,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Tomsk Oblast,,,,
Altai Krai,Novosibirsk Oblast,,,,
Altai Krai,"Tatarstan, Republic of",,,,
Altai Krai,Udmurt Republic,,,,
Altai Krai,"Crimea, Republic of[d]",,,,
Altai Krai,Komi Republic,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Nizhny Novgorod Oblast,,,,
Altai Krai,Mari El Republic,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Nizhny Novgorod Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Yaroslavl Oblast,,,,
Altai Krai,Chelyabinsk Oblast,,,,
Altai Krai,Sverdlovsk Oblast,,,,
Altai Krai,Tyumen Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Oryol Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,"Karelia, Republic of",,,,
Altai Krai,Chelyabinsk Oblast,,,,
Altai Krai,Novgorod Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Oryol Oblast,,,,
Altai Krai,Tula Oblast,,,,
Altai Krai,Ryazan Oblast,,,,
Altai Krai,Tambov Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Sakha (Yakutia) Republic,,,,
Altai Krai,Chukotka Autonomous Okrug,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Tula Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Moscow,,,,
Altai Krai,Smolensk Oblast,,,,
Altai Krai,Tver Oblast,,,,
Altai Krai,Yaroslavl Oblast,,,,
Altai Krai,Altai Krai,,,,
Altai Krai,Ryazan Oblast,,,,
Murmansk Oblast,"Karelia, Republic of",,,,
Nizhny Novgorod Oblast,"Mordovia, Republic of",,,,
