AK,WA,1,2
AL,FL,1,2
AL,GA,1,2
AL,MS,1,2
AL,TN,1,2
AR,LA,1,2
AR,MO,1,2
AR,MS,1,2
AR,OK,1,2
AR,TN,1,2
AR,TX,1,2
AZ,CA,1,2
AZ,CO,1,2
AZ,NM,1,2
AZ,NV,1,2
AZ,UT,1,2
CA,HI,1,2
CA,NV,1,2
CA,OR,1,2
CO,KS,1,2
CO,NE,1,2
CO,NM,1,2
CO,OK,1,2
CO,UT,1,2
CO,WY,1,2
CT,MA,1,2
CT,NY,1,2
CT,RI,1,2
DC,MD,1,2
DC,VA,1,2
DE,MD,1,2
DE,NJ,1,2
DE,PA,1,2
FL,GA,1,2
GA,NC,1,2
GA,SC,1,2
GA,TN,1,2
IA,IL,1,2
IA,MN,1,2
IA,MO,1,2
IA,NE,1,2
IA,SD,1,2
IA,WI,1,2
ID,MT,1,2
ID,NV,1,2
ID,OR,1,2
ID,UT,1,2
ID,WA,1,2
ID,WY,1,2
IL,IN,1,2
IL,KY,1,2
IL,MO,1,2
IL,WI,1,2
IN,KY,1,2
IN,MI,1,2
IN,OH,1,2
KS,MO,1,2
KS,NE,1,2
KS,OK,1,2
KY,MO,1,2
KY,OH,1,2
KY,TN,1,2
KY,VA,1,2
KY,WV,1,2
LA,MS,1,2
LA,TX,1,2
MA,NH,1,2
MA,NY,1,2
MA,RI,1,2
MA,VT,1,2
MD,PA,1,2
MD,VA,1,2
MD,WV,1,2
ME,NH,1,2
MI,OH,1,2
MI,WI,1,2
MN,ND,1,2
MN,SD,1,2
MN,WI,1,2
MO,NE,1,2
MO,OK,1,2
MO,TN,1,2
MS,TN,1,2
MT,ND,1,2
MT,SD,1,2
MT,WY,1,2
NC,SC,1,2
NC,TN,1,2
NC,VA,1,2
ND,SD,1,2
NE,SD,1,2
NE,WY,1,2
NH,VT,1,2
NJ,NY,1,2
NJ,PA,1,2
NM,OK,1,2
NM,TX,1,2
NM,UT,1,2
NV,OR,1,2
NV,UT,1,2
NY,PA,1,2
NY,VT,1,2
OH,PA,1,2
OH,WV,1,2
OK,TX,1,2
OR,WA,1,2
PA,WV,1,2
SD,WY,1,2
TN,VA,1,2
UT,WY,1,2
VA,WV,1,2
